ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
D13065,-22.88029,-43.357,2026-04-07 16:22:47-03:00,0,803,2026-04-07 16:22:57-03:00,2026-04-07 16:23:10-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,10.0,13.0
C27028,-22.85835,-43.32929,2026-04-07 16:42:02-03:00,5,775,2026-04-07 16:42:12-03:00,2026-04-07 16:42:33-03:00,2026-04-07 16:43:46,2026-04-07,16,42,Tuesday,10.0,21.0
C30349,-22.96494,-43.33559,2026-04-07 16:11:43-03:00,21,555,2026-04-07 16:11:51-03:00,2026-04-07 16:12:22-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,8.0,31.0
C47557,-22.88266,-43.3422,2026-04-07 16:15:24-03:00,0,353,2026-04-07 16:15:33-03:00,2026-04-07 16:15:58-03:00,2026-04-07 16:43:46,2026-04-07,16,15,Tuesday,9.0,25.0
C47537,-22.94225,-43.34519,2026-04-07 16:39:38-03:00,23,600,2026-04-07 16:39:42-03:00,2026-04-07 16:40:06-03:00,2026-04-07 16:43:46,2026-04-07,16,39,Tuesday,4.0,24.0
B58205,-22.90639,-43.24051,2026-04-07 16:21:11-03:00,57,621,2026-04-07 16:21:14-03:00,2026-04-07 16:21:40-03:00,2026-04-07 16:43:46,2026-04-07,16,21,Tuesday,3.0,26.0
D86366,-22.90703,-43.54185,2026-04-07 16:23:52-03:00,0,883,2026-04-07 16:23:58-03:00,2026-04-07 16:24:29-03:00,2026-04-07 16:43:46,2026-04-07,16,23,Tuesday,6.0,31.0
A72042,-22.91612,-43.21748,2026-04-07 15:50:19-03:00,42,422,2026-04-07 15:50:24-03:00,2026-04-07 15:50:50-03:00,2026-04-07 16:43:46,2026-04-07,15,50,Tuesday,5.0,26.0
B44578,-22.86074,-43.35566,2026-04-07 15:59:01-03:00,0,LECD140,2026-04-07 15:59:09-03:00,2026-04-07 15:59:14-03:00,2026-04-07 16:43:46,2026-04-07,15,59,Tuesday,8.0,5.0
D86189,-22.90081,-43.55168,2026-04-07 16:13:47-03:00,33,SP864,2026-04-07 16:13:53-03:00,2026-04-07 16:14:10-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,6.0,17.0
C47620,-22.92032,-43.25967,2026-04-07 16:33:33-03:00,33,390,2026-04-07 16:33:39-03:00,2026-04-07 16:33:56-03:00,2026-04-07 16:43:46,2026-04-07,16,33,Tuesday,6.0,17.0
C72131,-22.92167,-43.22836,2026-04-07 16:17:22-03:00,5,410,2026-04-07 16:17:32-03:00,2026-04-07 16:17:54-03:00,2026-04-07 16:43:46,2026-04-07,16,17,Tuesday,10.0,22.0
A71555,-22.96284,-43.21624,2026-04-07 16:38:08-03:00,8,416,2026-04-07 16:38:16-03:00,2026-04-07 16:38:47-03:00,2026-04-07 16:43:46,2026-04-07,16,38,Tuesday,8.0,31.0
C27069,-22.864,-43.33329,2026-04-07 15:54:04-03:00,31,775,2026-04-07 15:54:06-03:00,2026-04-07 15:54:28-03:00,2026-04-07 16:43:46,2026-04-07,15,54,Tuesday,2.0,22.0
C47723,-23.01999,-43.48306,2026-04-07 16:14:18-03:00,15,553,2026-04-07 16:14:28-03:00,2026-04-07 16:14:56-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,10.0,28.0
C44520,-22.83091,-43.32885,2026-04-07 15:47:36-03:00,25,712,2026-04-07 15:47:45-03:00,2026-04-07 15:47:55-03:00,2026-04-07 16:43:46,2026-04-07,15,47,Tuesday,9.0,10.0
C30220,-22.93245,-43.34501,2026-04-07 15:55:07-03:00,60,343,2026-04-07 15:55:17-03:00,2026-04-07 15:55:27-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,10.0,10.0
D33278,-22.85173,-43.38393,2026-04-07 16:07:50-03:00,37,798,2026-04-07 16:08:01-03:00,2026-04-07 16:08:12-03:00,2026-04-07 16:43:46,2026-04-07,16,7,Tuesday,11.0,11.0
C51548,-22.88202,-43.29301,2026-04-07 15:43:33-03:00,31,371,2026-04-07 15:43:43-03:00,2026-04-07 15:43:58-03:00,2026-04-07 16:43:46,2026-04-07,15,43,Tuesday,10.0,15.0
B10122,-22.82035,-43.22743,2026-04-07 15:55:16-03:00,46,323,2026-04-07 15:55:19-03:00,2026-04-07 15:55:42-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,3.0,23.0
B28567,-22.91453,-43.19783,2026-04-07 16:40:20-03:00,0,321,2026-04-07 16:40:27-03:00,2026-04-07 16:40:30-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,7.0,3.0
B25566,-22.90446,-43.29506,2026-04-07 16:35:02-03:00,21,249,2026-04-07 16:35:13-03:00,2026-04-07 16:35:22-03:00,2026-04-07 16:43:46,2026-04-07,16,35,Tuesday,11.0,9.0
C47780,-22.94097,-43.34222,2026-04-07 16:37:52-03:00,0,692,2026-04-07 16:37:57-03:00,2026-04-07 16:38:32-03:00,2026-04-07 16:43:46,2026-04-07,16,37,Tuesday,5.0,35.0
D86346,-22.89937,-43.54197,2026-04-07 16:06:49-03:00,27,855,2026-04-07 16:06:52-03:00,2026-04-07 16:06:57-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,3.0,5.0
B25523,-22.90379,-43.29077,2026-04-07 16:04:01-03:00,8,232,2026-04-07 16:04:10-03:00,2026-04-07 16:04:22-03:00,2026-04-07 16:43:46,2026-04-07,16,4,Tuesday,9.0,12.0
D33076,-22.88868,-43.44644,2026-04-07 16:29:48-03:00,34,794,2026-04-07 16:29:54-03:00,2026-04-07 16:30:24-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,6.0,30.0
D33180,-22.87555,-43.41985,2026-04-07 16:08:24-03:00,0,798,2026-04-07 16:08:34-03:00,2026-04-07 16:08:43-03:00,2026-04-07 16:43:46,2026-04-07,16,8,Tuesday,10.0,9.0
C50144,-22.98199,-43.29956,2026-04-07 16:14:27-03:00,19,301,2026-04-07 16:14:31-03:00,2026-04-07 16:14:37-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,4.0,6.0
C47988,-22.92302,-43.30143,2026-04-07 16:37:54-03:00,29,2114,2026-04-07 16:38:06-03:00,2026-04-07 16:38:33-03:00,2026-04-07 16:43:46,2026-04-07,16,37,Tuesday,12.0,27.0
B32645,-22.91449,-43.1766,2026-04-07 16:11:25-03:00,27,399,2026-04-07 16:11:32-03:00,2026-04-07 16:11:51-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,7.0,19.0
D86155,-22.92352,-43.55141,2026-04-07 15:46:44-03:00,48,857,2026-04-07 15:46:54-03:00,2026-04-07 15:47:20-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,10.0,26.0
B27111,-22.80919,-43.32848,2026-04-07 16:04:25-03:00,18,774,2026-04-07 16:04:30-03:00,2026-04-07 16:04:41-03:00,2026-04-07 16:43:46,2026-04-07,16,4,Tuesday,5.0,11.0
