ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao,data,hora,minuto,dia_semana,latencia_envio_s,latencia_servidor_s
C47870,-22.88708,-43.2868,2026-04-07 16:38:45-03:00,0,692,2026-04-07 16:38:49-03:00,2026-04-07 16:39:04-03:00,2026-04-07 16:43:46,2026-04-07,16,38,Tuesday,4.0,15.0
A29013,-22.90782,-43.17485,2026-04-07 16:15:38-03:00,24,472,2026-04-07 16:15:44-03:00,2026-04-07 16:15:53-03:00,2026-04-07 16:43:46,2026-04-07,16,15,Tuesday,6.0,9.0
B44567,-22.87176,-43.33597,2026-04-07 16:30:41-03:00,11,785,2026-04-07 16:30:50-03:00,2026-04-07 16:31:10-03:00,2026-04-07 16:43:46,2026-04-07,16,30,Tuesday,9.0,20.0
D86363,-22.9013,-43.55399,2026-04-07 16:40:42-03:00,23,864,2026-04-07 16:40:45-03:00,2026-04-07 16:40:59-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,3.0,14.0
C27199,-22.87053,-43.3357,2026-04-07 15:57:00-03:00,0,355,2026-04-07 15:57:06-03:00,2026-04-07 15:57:32-03:00,2026-04-07 16:43:46,2026-04-07,15,57,Tuesday,6.0,26.0
B28636,-22.81616,-43.1884,2026-04-07 16:25:19-03:00,0,921,2026-04-07 16:25:27-03:00,2026-04-07 16:25:40-03:00,2026-04-07 16:43:46,2026-04-07,16,25,Tuesday,8.0,13.0
D18507,-22.85666,-43.49533,2026-04-07 16:02:54-03:00,53,2336,2026-04-07 16:03:05-03:00,2026-04-07 16:03:22-03:00,2026-04-07 16:43:46,2026-04-07,16,2,Tuesday,11.0,17.0
B32790,-22.81753,-43.39362,2026-04-07 15:52:05-03:00,0,296,2026-04-07 15:52:11-03:00,2026-04-07 15:52:27-03:00,2026-04-07 16:43:46,2026-04-07,15,52,Tuesday,6.0,16.0
C50209,-22.95065,-43.19319,2026-04-07 16:02:27-03:00,0,435,2026-04-07 16:02:57-03:00,2026-04-07 16:03:21-03:00,2026-04-07 16:43:46,2026-04-07,16,2,Tuesday,30.0,24.0
B71056,-22.91393,-43.29764,2026-04-07 16:03:12-03:00,18,247,2026-04-07 16:03:38-03:00,2026-04-07 16:04:06-03:00,2026-04-07 16:43:46,2026-04-07,16,3,Tuesday,26.0,28.0
D86284,-22.92152,-43.56341,2026-04-07 15:48:52-03:00,0,SV853,2026-04-07 15:49:01-03:00,2026-04-07 15:49:24-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,9.0,23.0
A72029,-22.93471,-43.18769,2026-04-07 15:57:08-03:00,8,422,2026-04-07 15:57:12-03:00,2026-04-07 15:57:28-03:00,2026-04-07 16:43:46,2026-04-07,15,57,Tuesday,4.0,16.0
A29205,-22.95812,-43.20439,2026-04-07 16:13:29-03:00,0,LECD130,2026-04-07 16:13:37-03:00,2026-04-07 16:13:50-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,8.0,13.0
B25528,-22.91017,-43.28342,2026-04-07 15:47:37-03:00,0,232,2026-04-07 15:47:49-03:00,2026-04-07 15:48:02-03:00,2026-04-07 16:43:46,2026-04-07,15,47,Tuesday,12.0,13.0
A29165,-22.87754,-43.21612,2026-04-07 15:48:45-03:00,0,209,2026-04-07 15:48:55-03:00,2026-04-07 15:49:18-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,10.0,23.0
C47737,-22.92862,-43.23963,2026-04-07 16:11:32-03:00,1,601,2026-04-07 16:11:41-03:00,2026-04-07 16:11:52-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,9.0,11.0
C47570,-22.89592,-43.2911,2026-04-07 16:37:55-03:00,34,353,2026-04-07 16:38:06-03:00,2026-04-07 16:38:33-03:00,2026-04-07 16:43:46,2026-04-07,16,37,Tuesday,11.0,27.0
B71032,-22.90899,-43.17059,2026-04-07 16:11:46-03:00,0,238,2026-04-07 16:11:57-03:00,2026-04-07 16:12:16-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,11.0,19.0
D33088,-22.93716,-43.66751,2026-04-07 15:49:04-03:00,0,804,2026-04-07 15:49:16-03:00,2026-04-07 15:49:38-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,12.0,22.0
B27094,-22.81092,-43.32977,2026-04-07 16:33:47-03:00,0,639,2026-04-07 16:33:58-03:00,2026-04-07 16:34:20-03:00,2026-04-07 16:43:46,2026-04-07,16,33,Tuesday,11.0,22.0
D86178,-22.94474,-43.56141,2026-04-07 15:46:34-03:00,22,835,2026-04-07 15:46:44-03:00,2026-04-07 15:46:50-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,10.0,6.0
C47740,-22.94724,-43.18215,2026-04-07 16:40:01-03:00,32,LECD129,2026-04-07 16:40:13-03:00,2026-04-07 16:40:35-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,12.0,22.0
D33006,-22.86562,-43.42402,2026-04-07 16:29:49-03:00,47,796,2026-04-07 16:29:55-03:00,2026-04-07 16:30:24-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,6.0,29.0
D86323,-22.98931,-43.55173,2026-04-07 15:58:05-03:00,27,867,2026-04-07 15:58:12-03:00,2026-04-07 15:58:12-03:00,2026-04-07 16:43:46,2026-04-07,15,58,Tuesday,7.0,0.0
D13228,-22.98926,-43.32239,2026-04-07 16:06:47-03:00,5,SV863,2026-04-07 16:06:54-03:00,2026-04-07 16:07:13-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,7.0,19.0
B44529,-22.89955,-43.20814,2026-04-07 16:04:55-03:00,13,SR355,2026-04-07 16:05:05-03:00,2026-04-07 16:05:25-03:00,2026-04-07 16:43:46,2026-04-07,16,4,Tuesday,10.0,20.0
A48060,-22.90723,-43.18247,2026-04-07 16:35:30-03:00,3,202,2026-04-07 16:35:40-03:00,2026-04-07 16:35:43-03:00,2026-04-07 16:43:46,2026-04-07,16,35,Tuesday,10.0,3.0
D13063,-22.91454,-43.37736,2026-04-07 15:48:26-03:00,21,803,2026-04-07 15:48:35-03:00,2026-04-07 15:48:47-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,9.0,12.0
D53579,-22.8796,-43.5037,2026-04-07 16:14:44-03:00,5,788,2026-04-07 16:14:54-03:00,2026-04-07 16:15:04-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,10.0,10.0
B44696,-22.855,-43.3854,2026-04-07 16:28:09-03:00,30,783,2026-04-07 16:28:13-03:00,2026-04-07 16:28:33-03:00,2026-04-07 16:43:46,2026-04-07,16,28,Tuesday,4.0,20.0
D86091,-22.99617,-43.62475,2026-04-07 16:05:00-03:00,27,856,2026-04-07 16:05:06-03:00,2026-04-07 16:05:24-03:00,2026-04-07 16:43:46,2026-04-07,16,5,Tuesday,6.0,18.0
D86358,-22.87449,-43.33514,2026-04-07 16:04:23-03:00,4,918,2026-04-07 16:04:32-03:00,2026-04-07 16:04:53-03:00,2026-04-07 16:43:46,2026-04-07,16,4,Tuesday,9.0,21.0
D33216,-22.89437,-43.56009,2026-04-07 16:07:11-03:00,18,826,2026-04-07 16:07:20-03:00,2026-04-07 16:07:41-03:00,2026-04-07 16:43:46,2026-04-07,16,7,Tuesday,9.0,21.0
B25595,-22.91069,-43.21988,2026-04-07 16:17:49-03:00,2,606,2026-04-07 16:17:51-03:00,2026-04-07 16:18:00-03:00,2026-04-07 16:43:46,2026-04-07,16,17,Tuesday,2.0,9.0
B71022,-22.90567,-43.31081,2026-04-07 15:58:51-03:00,22,238,2026-04-07 15:58:58-03:00,2026-04-07 15:59:00-03:00,2026-04-07 16:43:46,2026-04-07,15,58,Tuesday,7.0,2.0
B11588,-22.89006,-43.23389,2026-04-07 16:11:04-03:00,18,665,2026-04-07 16:11:12-03:00,2026-04-07 16:11:17-03:00,2026-04-07 16:43:46,2026-04-07,16,11,Tuesday,8.0,5.0
C50007,-22.97239,-43.41406,2026-04-07 16:23:32-03:00,5,810,2026-04-07 16:23:41-03:00,2026-04-07 16:23:49-03:00,2026-04-07 16:43:46,2026-04-07,16,23,Tuesday,9.0,8.0
C30116,-23.03095,-43.47203,2026-04-07 15:48:39-03:00,35,954,2026-04-07 15:48:56-03:00,2026-04-07 15:49:16-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,17.0,20.0
B28510,-22.8999,-43.27914,2026-04-07 16:17:16-03:00,0,696,2026-04-07 16:17:22-03:00,2026-04-07 16:17:30-03:00,2026-04-07 16:43:46,2026-04-07,16,17,Tuesday,6.0,8.0
B32595,-22.83055,-43.35339,2026-04-07 15:55:24-03:00,0,298,2026-04-07 15:55:33-03:00,2026-04-07 15:56:01-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,9.0,28.0
D87833,-22.9071,-43.17357,2026-04-07 16:35:45-03:00,15,2336,2026-04-07 16:35:50-03:00,2026-04-07 16:35:59-03:00,2026-04-07 16:43:46,2026-04-07,16,35,Tuesday,5.0,9.0
B58215,-22.91302,-43.26588,2026-04-07 16:32:04-03:00,30,622,2026-04-07 16:32:13-03:00,2026-04-07 16:32:24-03:00,2026-04-07 16:43:46,2026-04-07,16,32,Tuesday,9.0,11.0
B71009,-22.90031,-43.27982,2026-04-07 15:45:43-03:00,25,457,2026-04-07 15:46:52-03:00,2026-04-07 15:47:14-03:00,2026-04-07 16:43:46,2026-04-07,15,45,Tuesday,69.0,22.0
B58072,-22.83697,-43.28558,2026-04-07 16:19:38-03:00,0,GARAGEM,2026-04-07 16:19:39-03:00,2026-04-07 16:20:08-03:00,2026-04-07 16:43:46,2026-04-07,16,19,Tuesday,1.0,29.0
D13270,-22.95737,-43.34344,2026-04-07 15:49:07-03:00,31,861,2026-04-07 15:49:17-03:00,2026-04-07 15:49:46-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,10.0,29.0
D13160,-23.01413,-43.31324,2026-04-07 16:06:53-03:00,28,878,2026-04-07 16:07:05-03:00,2026-04-07 16:07:14-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,12.0,9.0
A71630,-22.98606,-43.24486,2026-04-07 16:29:50-03:00,1,539,2026-04-07 16:29:58-03:00,2026-04-07 16:30:06-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,8.0,8.0
D12072,-22.88725,-43.56234,2026-04-07 15:47:50-03:00,12,830,2026-04-07 15:48:00-03:00,2026-04-07 15:48:13-03:00,2026-04-07 16:43:46,2026-04-07,15,47,Tuesday,10.0,13.0
B31032,-22.98466,-43.19861,2026-04-07 15:55:32-03:00,9,483,2026-04-07 15:55:36-03:00,2026-04-07 15:55:46-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,4.0,10.0
D33123,-22.86374,-43.45024,2026-04-07 16:20:06-03:00,4,731,2026-04-07 16:20:14-03:00,2026-04-07 16:20:35-03:00,2026-04-07 16:43:46,2026-04-07,16,20,Tuesday,8.0,21.0
B28588,-22.8408,-43.23984,2026-04-07 16:31:04-03:00,39,326,2026-04-07 16:31:08-03:00,2026-04-07 16:31:18-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,4.0,10.0
B27100,-22.86805,-43.33485,2026-04-07 16:32:42-03:00,0,774,2026-04-07 16:32:45-03:00,2026-04-07 16:32:49-03:00,2026-04-07 16:43:46,2026-04-07,16,32,Tuesday,3.0,4.0
C47521,-22.94683,-43.372,2026-04-07 16:06:33-03:00,31,368,2026-04-07 16:06:43-03:00,2026-04-07 16:07:13-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,10.0,30.0
C30353,-22.96497,-43.33559,2026-04-07 16:25:38-03:00,22,555,2026-04-07 16:25:46-03:00,2026-04-07 16:26:14-03:00,2026-04-07 16:43:46,2026-04-07,16,25,Tuesday,8.0,28.0
A29163,-22.92439,-43.20892,2026-04-07 16:22:59-03:00,0,711,2026-04-07 16:23:06-03:00,2026-04-07 16:23:32-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,7.0,26.0
B25533,-22.91608,-43.22964,2026-04-07 16:36:28-03:00,29,232,2026-04-07 16:37:51-03:00,2026-04-07 16:38:05-03:00,2026-04-07 16:43:46,2026-04-07,16,36,Tuesday,83.0,14.0
D53644,-22.90181,-43.55502,2026-04-07 15:55:40-03:00,9,894,2026-04-07 15:55:52-03:00,2026-04-07 15:56:10-03:00,2026-04-07 16:43:46,2026-04-07,15,55,Tuesday,12.0,18.0
B32532,-22.88489,-43.23582,2026-04-07 16:23:18-03:00,0,399,2026-04-07 16:23:29-03:00,2026-04-07 16:23:37-03:00,2026-04-07 16:43:46,2026-04-07,16,23,Tuesday,11.0,8.0
C50006,-22.90023,-43.18774,2026-04-07 16:41:39-03:00,0,LECD137,2026-04-07 16:41:46-03:00,2026-04-07 16:42:14-03:00,2026-04-07 16:43:46,2026-04-07,16,41,Tuesday,7.0,28.0
B27144,-22.81681,-43.30169,2026-04-07 16:23:38-03:00,0,LECD142,2026-04-07 16:23:45-03:00,2026-04-07 16:24:07-03:00,2026-04-07 16:43:46,2026-04-07,16,23,Tuesday,7.0,22.0
B32670,-22.81492,-43.38133,2026-04-07 16:25:15-03:00,0,SP795,2026-04-07 16:25:25-03:00,2026-04-07 16:25:39-03:00,2026-04-07 16:43:46,2026-04-07,16,25,Tuesday,10.0,14.0
D33009,-22.88671,-43.41642,2026-04-07 16:39:26-03:00,17,383,2026-04-07 16:39:28-03:00,2026-04-07 16:39:42-03:00,2026-04-07 16:43:46,2026-04-07,16,39,Tuesday,2.0,14.0
A71580,-22.91621,-43.20894,2026-04-07 15:58:03-03:00,5,133,2026-04-07 16:01:20-03:00,2026-04-07 16:01:30-03:00,2026-04-07 16:43:46,2026-04-07,15,58,Tuesday,197.0,10.0
C50026,-22.98401,-43.29718,2026-04-07 15:46:35-03:00,15,302,2026-04-07 15:46:37-03:00,2026-04-07 15:46:59-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,2.0,22.0
D13159,-23.00934,-43.31689,2026-04-07 16:41:22-03:00,41,SV878,2026-04-07 16:41:31-03:00,2026-04-07 16:42:07-03:00,2026-04-07 16:43:46,2026-04-07,16,41,Tuesday,9.0,36.0
C47726,-23.01891,-43.48312,2026-04-07 16:24:14-03:00,25,817,2026-04-07 16:24:22-03:00,2026-04-07 16:24:43-03:00,2026-04-07 16:43:46,2026-04-07,16,24,Tuesday,8.0,21.0
D33085,-22.98581,-43.69963,2026-04-07 15:49:12-03:00,23,870,2026-04-07 15:49:19-03:00,2026-04-07 15:49:38-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,7.0,19.0
C47871,-23.01089,-43.36593,2026-04-07 16:08:21-03:00,13,SV692,2026-04-07 16:08:30-03:00,2026-04-07 16:08:45-03:00,2026-04-07 16:43:46,2026-04-07,16,8,Tuesday,9.0,15.0
A50002,-22.95558,-43.26527,2026-04-07 16:41:11-03:00,23,645,2026-04-07 16:41:23-03:00,2026-04-07 16:41:43-03:00,2026-04-07 16:43:46,2026-04-07,16,41,Tuesday,12.0,20.0
B11543,-22.91166,-43.17542,2026-04-07 16:40:29-03:00,0,SR362,2026-04-07 16:40:36-03:00,2026-04-07 16:40:54-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,7.0,18.0
B28635,-22.79581,-43.18576,2026-04-07 16:29:24-03:00,14,SP329,2026-04-07 16:29:30-03:00,2026-04-07 16:29:45-03:00,2026-04-07 16:43:46,2026-04-07,16,29,Tuesday,6.0,15.0
B27175,-22.81655,-43.30182,2026-04-07 15:53:37-03:00,0,905,2026-04-07 15:53:45-03:00,2026-04-07 15:53:57-03:00,2026-04-07 16:43:46,2026-04-07,15,53,Tuesday,8.0,12.0
C50050,-22.9707,-43.28162,2026-04-07 16:31:18-03:00,33,645,2026-04-07 16:31:24-03:00,2026-04-07 16:31:30-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,6.0,6.0
B51527,-22.86768,-43.25712,2026-04-07 16:19:32-03:00,22,917,2026-04-07 16:19:36-03:00,2026-04-07 16:19:45-03:00,2026-04-07 16:43:46,2026-04-07,16,19,Tuesday,4.0,9.0
C47941,-22.95156,-43.34935,2026-04-07 16:14:09-03:00,0,2114,2026-04-07 16:14:18-03:00,2026-04-07 16:14:26-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,9.0,8.0
C13112,-22.88721,-43.34482,2026-04-07 16:10:38-03:00,29,636,2026-04-07 16:10:47-03:00,2026-04-07 16:11:20-03:00,2026-04-07 16:43:46,2026-04-07,16,10,Tuesday,9.0,33.0
D33277,-22.84828,-43.35846,2026-04-07 16:26:51-03:00,45,SV777,2026-04-07 16:26:58-03:00,2026-04-07 16:27:19-03:00,2026-04-07 16:43:46,2026-04-07,16,26,Tuesday,7.0,21.0
C30038,-22.93855,-43.347,2026-04-07 16:30:07-03:00,0,565,2026-04-07 16:30:10-03:00,2026-04-07 16:30:21-03:00,2026-04-07 16:43:46,2026-04-07,16,30,Tuesday,3.0,11.0
D13284,-22.95342,-43.34662,2026-04-07 16:39:36-03:00,7,829,2026-04-07 16:39:42-03:00,2026-04-07 16:40:06-03:00,2026-04-07 16:43:46,2026-04-07,16,39,Tuesday,6.0,24.0
B32604,-22.88121,-43.45835,2026-04-07 16:24:43-03:00,22,799,2026-04-07 16:24:53-03:00,2026-04-07 16:25:09-03:00,2026-04-07 16:43:46,2026-04-07,16,24,Tuesday,10.0,16.0
D86753,-23.00049,-43.34774,2026-04-07 16:35:01-03:00,27,2804,2026-04-07 16:35:07-03:00,2026-04-07 16:35:20-03:00,2026-04-07 16:43:46,2026-04-07,16,35,Tuesday,6.0,13.0
A71585,-22.98447,-43.24377,2026-04-07 16:42:45-03:00,19,539,2026-04-07 16:42:56-03:00,2026-04-07 16:43:22-03:00,2026-04-07 16:43:46,2026-04-07,16,42,Tuesday,11.0,26.0
D13226,-22.87973,-43.3417,2026-04-07 16:40:15-03:00,14,636,2026-04-07 16:40:25-03:00,2026-04-07 16:40:36-03:00,2026-04-07 16:43:46,2026-04-07,16,40,Tuesday,10.0,11.0
B25532,-22.9043,-43.29554,2026-04-07 16:28:13-03:00,0,606,2026-04-07 16:28:24-03:00,2026-04-07 16:28:33-03:00,2026-04-07 16:43:46,2026-04-07,16,28,Tuesday,11.0,9.0
A29014,-22.89376,-43.23932,2026-04-07 15:46:18-03:00,0,476,2026-04-07 15:46:28-03:00,2026-04-07 15:46:44-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,10.0,16.0
B28712,-22.90773,-43.17412,2026-04-07 16:02:30-03:00,19,2343,2026-04-07 16:02:36-03:00,2026-04-07 16:02:41-03:00,2026-04-07 16:43:46,2026-04-07,16,2,Tuesday,6.0,5.0
A72017,-22.9867,-43.36609,2026-04-07 16:16:07-03:00,58,691,2026-04-07 16:16:18-03:00,2026-04-07 16:16:22-03:00,2026-04-07 16:43:46,2026-04-07,16,16,Tuesday,11.0,4.0
B31030,-22.97819,-43.19076,2026-04-07 16:38:02-03:00,16,483,2026-04-07 16:38:11-03:00,2026-04-07 16:38:40-03:00,2026-04-07 16:43:46,2026-04-07,16,38,Tuesday,9.0,29.0
C47788,-22.87701,-43.27658,2026-04-07 15:51:02-03:00,48,613,2026-04-07 15:51:14-03:00,2026-04-07 15:51:20-03:00,2026-04-07 16:43:46,2026-04-07,15,51,Tuesday,12.0,6.0
C11901,-22.88488,-43.29826,2026-04-07 16:20:07-03:00,2,2345,2026-04-07 16:20:21-03:00,2026-04-07 16:20:29-03:00,2026-04-07 16:43:46,2026-04-07,16,20,Tuesday,14.0,8.0
A48071,-22.91057,-43.20908,2026-04-07 15:59:51-03:00,33,LECD131,2026-04-07 16:00:21-03:00,2026-04-07 16:00:29-03:00,2026-04-07 16:43:46,2026-04-07,15,59,Tuesday,30.0,8.0
A48100,-22.94083,-43.25086,2026-04-07 16:42:07-03:00,25,415,2026-04-07 16:42:18-03:00,2026-04-07 16:42:23-03:00,2026-04-07 16:43:46,2026-04-07,16,42,Tuesday,11.0,5.0
C47938,-22.94142,-43.34068,2026-04-07 15:57:11-03:00,25,2114,2026-04-07 15:57:15-03:00,2026-04-07 15:57:29-03:00,2026-04-07 16:43:46,2026-04-07,15,57,Tuesday,4.0,14.0
B32633,-22.83759,-43.25727,2026-04-07 16:41:18-03:00,40,SR386,2026-04-07 16:41:24-03:00,2026-04-07 16:41:29-03:00,2026-04-07 16:43:46,2026-04-07,16,41,Tuesday,6.0,5.0
C13007,-23.01187,-43.29131,2026-04-07 16:12:56-03:00,50,552,2026-04-07 16:16:15-03:00,2026-04-07 16:16:29-03:00,2026-04-07 16:43:46,2026-04-07,16,12,Tuesday,199.0,14.0
D33193,-22.87847,-43.49187,2026-04-07 16:17:50-03:00,0,746,2026-04-07 16:17:57-03:00,2026-04-07 16:18:00-03:00,2026-04-07 16:43:46,2026-04-07,16,17,Tuesday,7.0,3.0
B44590,-22.89953,-43.28008,2026-04-07 15:59:43-03:00,41,638,2026-04-07 15:59:52-03:00,2026-04-07 16:00:16-03:00,2026-04-07 16:43:46,2026-04-07,15,59,Tuesday,9.0,24.0
A29065,-22.89925,-43.21176,2026-04-07 16:43:15-03:00,0,LECD130,2026-04-07 16:43:18-03:00,2026-04-07 16:43:28-03:00,2026-04-07 16:43:46,2026-04-07,16,43,Tuesday,3.0,10.0
D33324,-22.86612,-43.47769,2026-04-07 16:21:20-03:00,11,737,2026-04-07 16:21:58-03:00,2026-04-07 16:22:08-03:00,2026-04-07 16:43:46,2026-04-07,16,21,Tuesday,38.0,10.0
B25603,-22.93248,-43.2408,2026-04-07 15:49:27-03:00,16,606,2026-04-07 15:50:37-03:00,2026-04-07 15:50:46-03:00,2026-04-07 16:43:46,2026-04-07,15,49,Tuesday,70.0,9.0
D86036,-22.96289,-43.58597,2026-04-07 16:04:55-03:00,35,856,2026-04-07 16:05:05-03:00,2026-04-07 16:05:24-03:00,2026-04-07 16:43:46,2026-04-07,16,4,Tuesday,10.0,19.0
D33256,-22.87841,-43.49198,2026-04-07 16:33:45-03:00,0,746,2026-04-07 16:33:58-03:00,2026-04-07 16:34:02-03:00,2026-04-07 16:43:46,2026-04-07,16,33,Tuesday,13.0,4.0
B28609,-22.84619,-43.23969,2026-04-07 16:31:07-03:00,0,324,2026-04-07 16:31:17-03:00,2026-04-07 16:31:18-03:00,2026-04-07 16:43:46,2026-04-07,16,31,Tuesday,10.0,1.0
C47976,-22.92292,-43.31016,2026-04-07 16:05:59-03:00,32,2114,2026-04-07 16:06:12-03:00,2026-04-07 16:06:42-03:00,2026-04-07 16:43:46,2026-04-07,16,5,Tuesday,13.0,30.0
C47728,-22.95881,-43.38334,2026-04-07 16:23:33-03:00,0,368,2026-04-07 16:24:44-03:00,2026-04-07 16:25:13-03:00,2026-04-07 16:43:46,2026-04-07,16,23,Tuesday,71.0,29.0
C50137,-22.98363,-43.29807,2026-04-07 16:36:13-03:00,29,302,2026-04-07 16:36:17-03:00,2026-04-07 16:36:36-03:00,2026-04-07 16:43:46,2026-04-07,16,36,Tuesday,4.0,19.0
B11560,-22.88441,-43.31711,2026-04-07 15:44:24-03:00,14,SV669,2026-04-07 15:44:35-03:00,2026-04-07 15:44:41-03:00,2026-04-07 16:43:46,2026-04-07,15,44,Tuesday,11.0,6.0
A29202,-22.96486,-43.20361,2026-04-07 16:28:10-03:00,0,473,2026-04-07 16:28:22-03:00,2026-04-07 16:28:39-03:00,2026-04-07 16:43:46,2026-04-07,16,28,Tuesday,12.0,17.0
C50003,-22.98064,-43.49092,2026-04-07 15:54:29-03:00,23,SP810,2026-04-07 15:54:41-03:00,2026-04-07 15:55:09-03:00,2026-04-07 16:43:46,2026-04-07,15,54,Tuesday,12.0,28.0
B27011,-22.91689,-43.26004,2026-04-07 16:06:09-03:00,22,639,2026-04-07 16:06:16-03:00,2026-04-07 16:06:43-03:00,2026-04-07 16:43:46,2026-04-07,16,6,Tuesday,7.0,27.0
C30219,-22.93675,-43.37069,2026-04-07 16:33:08-03:00,9,900,2026-04-07 16:33:18-03:00,2026-04-07 16:33:25-03:00,2026-04-07 16:43:46,2026-04-07,16,33,Tuesday,10.0,7.0
A50168,-22.917,-43.25893,2026-04-07 15:51:18-03:00,12,435,2026-04-07 15:51:21-03:00,2026-04-07 15:51:35-03:00,2026-04-07 16:43:46,2026-04-07,15,51,Tuesday,3.0,14.0
C30183,-22.95445,-43.33759,2026-04-07 15:48:44-03:00,0,878,2026-04-07 15:48:46-03:00,2026-04-07 15:49:16-03:00,2026-04-07 16:43:46,2026-04-07,15,48,Tuesday,2.0,30.0
B25553,-22.89782,-43.31224,2026-04-07 16:13:04-03:00,0,249,2026-04-07 16:13:07-03:00,2026-04-07 16:13:14-03:00,2026-04-07 16:43:46,2026-04-07,16,13,Tuesday,3.0,7.0
D33264,-22.86379,-43.41597,2026-04-07 16:39:51-03:00,40,796,2026-04-07 16:40:01-03:00,2026-04-07 16:40:13-03:00,2026-04-07 16:43:46,2026-04-07,16,39,Tuesday,10.0,12.0
D13172,-22.92908,-43.35398,2026-04-07 15:43:34-03:00,19,878,2026-04-07 15:43:41-03:00,2026-04-07 15:44:07-03:00,2026-04-07 16:43:46,2026-04-07,15,43,Tuesday,7.0,26.0
C30019,-22.92423,-43.36137,2026-04-07 15:56:44-03:00,36,565,2026-04-07 15:56:53-03:00,2026-04-07 15:56:58-03:00,2026-04-07 16:43:46,2026-04-07,15,56,Tuesday,9.0,5.0
D86745,-22.85634,-43.49353,2026-04-07 15:46:49-03:00,0,2803,2026-04-07 15:46:55-03:00,2026-04-07 15:47:20-03:00,2026-04-07 16:43:46,2026-04-07,15,46,Tuesday,6.0,25.0
C47710,-22.92084,-43.2248,2026-04-07 16:25:12-03:00,0,601,2026-04-07 16:25:17-03:00,2026-04-07 16:25:44-03:00,2026-04-07 16:43:46,2026-04-07,16,25,Tuesday,5.0,27.0
C51603,-22.88547,-43.27864,2026-04-07 15:50:53-03:00,33,371,2026-04-07 15:50:54-03:00,2026-04-07 15:51:07-03:00,2026-04-07 16:43:46,2026-04-07,15,50,Tuesday,1.0,13.0
C30340,-23.02584,-43.48119,2026-04-07 16:14:38-03:00,0,954,2026-04-07 16:14:49-03:00,2026-04-07 16:14:56-03:00,2026-04-07 16:43:46,2026-04-07,16,14,Tuesday,11.0,7.0
B28633,-22.80577,-43.21228,2026-04-07 16:34:51-03:00,29,SP329,2026-04-07 16:34:59-03:00,2026-04-07 16:35:22-03:00,2026-04-07 16:43:46,2026-04-07,16,34,Tuesday,8.0,23.0
D86251,-23.03511,-43.56175,2026-04-07 16:26:07-03:00,22,867,2026-04-07 16:26:15-03:00,2026-04-07 16:26:33-03:00,2026-04-07 16:43:46,2026-04-07,16,26,Tuesday,8.0,18.0
A72041,-22.94195,-43.17916,2026-04-07 16:24:58-03:00,40,410,2026-04-07 16:25:03-03:00,2026-04-07 16:25:33-03:00,2026-04-07 16:43:46,2026-04-07,16,24,Tuesday,5.0,30.0
D33062,-22.87351,-43.42473,2026-04-07 16:02:17-03:00,0,926,2026-04-07 16:02:22-03:00,2026-04-07 16:02:32-03:00,2026-04-07 16:43:46,2026-04-07,16,2,Tuesday,5.0,10.0
D13272,-22.96503,-43.40698,2026-04-07 16:22:08-03:00,0,611,2026-04-07 16:22:15-03:00,2026-04-07 16:22:39-03:00,2026-04-07 16:43:46,2026-04-07,16,22,Tuesday,7.0,24.0
B27214,-22.83953,-43.31112,2026-04-07 16:42:12-03:00,20,LECD145,2026-04-07 16:42:13-03:00,2026-04-07 16:42:33-03:00,2026-04-07 16:43:46,2026-04-07,16,42,Tuesday,1.0,20.0
