ordem,latitude,longitude,datahora,velocidade,linha,datahoraenvio,datahoraservidor,momento_extracao
A50089,"-22,90688","-43,19437",1775499628000,7,435,1775499638000,1775499655000,2026-04-06 16:20:49
A50070,"-22,9538","-43,19076",1775499627000,7,435,1775499638000,1775499655000,2026-04-06 16:20:49
C50037,"-22,92429","-43,23285",1775499627000,14,302,1775499638000,1775499655000,2026-04-06 16:20:49
D17044,"-22,91221","-43,68694",1775499630000,0,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17142,"-22,89941","-43,72187",1775499629000,20,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17044,"-22,9122","-43,68695",1775499632000,3,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17142,"-22,89953","-43,72193",1775499633000,12,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17044,"-22,9122","-43,68697",1775499633000,3,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17142,"-22,89956","-43,72194",1775499634000,3,840,1775499638000,1775499659000,2026-04-06 16:20:49
D17044,"-22,9122","-43,68699",1775499634000,5,840,1775499638000,1775499659000,2026-04-06 16:20:49
A50019,"-22,96562","-43,38292",1775499627000,55,810,1775499638000,1775499655000,2026-04-06 16:20:49
C50148,"-22,92408","-43,23271",1775499625000,11,301,1775499638000,1775499655000,2026-04-06 16:20:49
C50059,"-22,99181","-43,50569",1775499626000,37,810,1775499638000,1775499655000,2026-04-06 16:20:49
C50053,"-23,01087","-43,36544",1775499628000,9,302,1775499638000,1775499655000,2026-04-06 16:20:49
A50071,"-22,94371","-43,25481",1775499628000,0,220,1775499638000,1775499655000,2026-04-06 16:20:49
A50216,"-22,98603","-43,1945",1775499628000,16,435,1775499638000,1775499655000,2026-04-06 16:20:49
C50048,"-23,00304","-43,3238",1775499618000,3,645,1775499638000,1775499655000,2026-04-06 16:20:49
A50008,"-22,92633","-43,24606",1775499629000,0,608,1775499638000,1775499655000,2026-04-06 16:20:49
B44516,"-22,89525","-43,29306",1775499627000,41,638,1775499639000,1775499658000,2026-04-06 16:20:49
B44619,"-22,89603","-43,30339",1775499627000,0,LECD141,1775499639000,1775499658000,2026-04-06 16:20:49
B44653,"-22,87056","-43,33569",1775499629000,10,721,1775499639000,1775499658000,2026-04-06 16:20:49
B44535,"-22,84736","-43,3575",1775499629000,40,LECD141,1775499639000,1775499658000,2026-04-06 16:20:49
B44696,"-22,92522","-43,23286",1775499629000,0,638,1775499639000,1775499658000,2026-04-06 16:20:49
C44607,"-22,90733","-43,18293",1775499629000,0,355,1775499639000,1775499658000,2026-04-06 16:20:49
B44550,"-22,90526","-43,29317",1775499630000,28,LECD140,1775499639000,1775499658000,2026-04-06 16:20:49
B44585,"-22,83995","-43,29845",1775499631000,22,721,1775499639000,1775499658000,2026-04-06 16:20:49
C44583,"-22,84446","-43,32512",1775499630000,11,712,1775499639000,1775499658000,2026-04-06 16:20:49
B44676,"-22,89989","-43,28035",1775499631000,0,LECD140,1775499639000,1775499658000,2026-04-06 16:20:49
B44564,"-22,86106","-43,35553",1775499631000,0,LECD140,1775499639000,1775499658000,2026-04-06 16:20:49
B44645,"-22,91772","-43,24614",1775499631000,29,638,1775499639000,1775499658000,2026-04-06 16:20:49
B44585,"-22,84001","-43,29842",1775499632000,23,721,1775499639000,1775499658000,2026-04-06 16:20:49
B44574,"-22,8952","-43,31957",1775499633000,14,LECD140,1775499639000,1775499658000,2026-04-06 16:20:49
B44582,"-22,86102","-43,35546",1775499632000,0,355,1775499639000,1775499658000,2026-04-06 16:20:49
B44532,"-22,88684","-43,22424",1775499630000,25,SR355,1775499639000,1775499658000,2026-04-06 16:20:49
C44615,"-22,86036","-43,35532",1775499542000,11,355,1775499639000,1775499658000,2026-04-06 16:20:49
B44648,"-22,91846","-43,22046",1775499634000,26,638,1775499639000,1775499658000,2026-04-06 16:20:49
B44585,"-22,84014","-43,29845",1775499634000,27,721,1775499639000,1775499658000,2026-04-06 16:20:49
C44615,"-22,86043","-43,3553",1775499544000,12,355,1775499639000,1775499658000,2026-04-06 16:20:49
B44592,"-22,84092","-43,28064",1775499575000,17,721,1775499639000,1775499658000,2026-04-06 16:20:49
A29093,"-22,96123","-43,21243",1775499630000,0,583,1775499639000,1775499644000,2026-04-06 16:20:49
A29111,"-22,87451","-43,24331",1775499631000,31,292,1775499639000,1775499644000,2026-04-06 16:20:49
A29014,"-22,86808","-43,27431",1775499632000,24,711,1775499639000,1775499644000,2026-04-06 16:20:49
A29171,"-22,90236","-43,25753",1775499631000,22,627,1775499639000,1775499644000,2026-04-06 16:20:49
A29038,"-22,8909","-43,22657",1775499632000,14,473,1775499639000,1775499644000,2026-04-06 16:20:49
A29027,"-22,98321","-43,2234",1775499632000,9,LECD133,1775499639000,1775499644000,2026-04-06 16:20:49
A29131,"-22,93362","-43,18228",1775499633000,11,584,1775499639000,1775499644000,2026-04-06 16:20:49
A29055,"-22,97939","-43,20263",1775499633000,11,161,1775499639000,1775499644000,2026-04-06 16:20:49
A29013,"-22,90329","-43,18435",1775499633000,1,472,1775499639000,1775499644000,2026-04-06 16:20:49
A29037,"-22,90974","-43,20916",1775499631000,15,474,1775499639000,1775499644000,2026-04-06 16:20:49
A29081,"-22,90643","-43,1779",1775499634000,0,350,1775499639000,1775499644000,2026-04-06 16:20:49
A29082,"-22,91529","-43,22067",1775499633000,0,LECD132,1775499639000,1775499644000,2026-04-06 16:20:49
A29139,"-22,89348","-43,24114",1775499633000,5,472,1775499639000,1775499644000,2026-04-06 16:20:49
A29103,"-22,95426","-43,16791",1775499633000,3,513,1775499639000,1775499644000,2026-04-06 16:20:49
A29044,"-22,89092","-43,22913",1775499633000,0,473,1775499639000,1775499644000,2026-04-06 16:20:49
A29151,"-22,8726","-43,28076",1775499633000,40,292,1775499639000,1775499644000,2026-04-06 16:20:49
A29043,"-22,89274","-43,21633",1775499634000,44,292,1775499639000,1775499644000,2026-04-06 16:20:49
A29035,"-22,91994","-43,23858",1775499633000,20,627,1775499639000,1775499644000,2026-04-06 16:20:49
C50149,"-22,99993","-43,34229",1775499628000,0,301,1775499639000,1775499655000,2026-04-06 16:20:49
A50005,"-22,93336","-43,18549",1775499629000,0,165,1775499639000,1775499655000,2026-04-06 16:20:49
A50093,"-22,90934","-43,20449",1775499628000,42,220,1775499639000,1775499655000,2026-04-06 16:20:49
C50130,"-22,92069","-43,22306",1775499629000,16,302,1775499639000,1775499655000,2026-04-06 16:20:49
C50015,"-22,99342","-43,50735",1775499563000,30,810,1775499639000,1775499655000,2026-04-06 16:20:49
C50081,"-22,90473","-43,19263",1775499629000,0,LECD137,1775499639000,1775499655000,2026-04-06 16:20:49
A50188,"-22,92122","-43,25878",1775499596000,0,435,1775499639000,1775499655000,2026-04-06 16:20:49
A50188,"-22,92119","-43,25876",1775499600000,8,435,1775499639000,1775499655000,2026-04-06 16:20:49
C50044,"-23,01017","-43,35292",1775499629000,33,SP805,1775499639000,1775499655000,2026-04-06 16:20:49
A50188,"-22,92089","-43,2588",1775499607000,22,435,1775499639000,1775499655000,2026-04-06 16:20:49
A50181,"-22,9046","-43,18301",1775499629000,24,LECD137,1775499639000,1775499655000,2026-04-06 16:20:49
C50177,"-22,9299","-43,25317",1775499626000,0,00000,1775499639000,1775499655000,2026-04-06 16:20:49
C50135,"-23,01381","-43,3148",1775499629000,45,302,1775499639000,1775499655000,2026-04-06 16:20:49
C50015,"-22,99159","-43,50518",1775499590000,43,810,1775499639000,1775499655000,2026-04-06 16:20:49
